code_hs4,id
2530,2
2601,2
2602,5
2603,5
2604,5
2605,5
2606,5
2607,5
2608,5
2609,5
2610,5
2611,5
2612,2
2613,2
2614,5
2615,2
2616,2
2617,2
2618,5
2619,5
2620,5
2621,2
2701,2
2702,2
2703,5
2704,5
2705,5
2706,5
2707,7
2708,5
2709,5
2710,6
2711,5
2712,6
2713,5
2714,2
2715,5
2716,5
2801,7
2802,6
2803,6
2804,6
2805,6
2806,6
2807,6
2808,6
2809,7
2810,6
2811,6
2812,6
2813,7
2814,7
2815,7
2816,7
2817,6
2818,9
2819,7
2820,6
2821,6
2822,6
2823,6
2824,7
2825,7
2826,7
2827,6
2828,7
2829,7
2830,7
2831,7
2832,7
2833,7
2834,7
2835,7
2836,6
2837,7
2839,7
2840,7
2841,7
2842,7
2843,6
2844,6
2845,6
2846,7
2847,6
2849,7
2850,6
2852,7
2853,7
2901,6
2902,7
2903,6
2904,7
2905,6
2906,7
2907,7
2908,7
2909,7
2910,6
2911,6
2912,6
2913,6
2914,6
2915,7
2916,6
2917,7
2918,6
2919,6
2920,7
2921,7
2922,6
2923,8
2924,6
2925,7
2926,7
2927,6
2928,6
2929,7
2930,6
2931,7
2932,7
2933,6
2934,7
2935,8
2936,6
2937,6
2938,8
2939,6
2940,6
2941,6
2942,6
3001,8
3002,6
3003,8
3004,8
3005,8
3006,6
3101,6
3102,6
3103,7
3104,6
3105,7
3201,6
3202,7
3203,6
3204,7
3205,6
3206,6
3207,7
3208,6
3209,7
3210,6
3211,6
3212,7
3213,7
3214,7
3215,7
3301,6
3302,6
3303,6
3304,7
3305,7
3306,7
3307,6
3401,7
3402,7
3403,7
3404,6
3405,6
3406,6
3407,6
3501,3
3502,6
3503,6
3504,6
3505,7
3506,7
3507,7
3601,6
3602,6
3603,6
3604,7
3605,6
3606,15
3701,6
3702,7
3703,7
3704,6
3705,6
3706,6
3707,7
3801,9
3802,7
3803,7
3804,6
3805,6
3806,7
3807,6
3808,7
3809,7
3810,7
3811,7
3812,6
3813,6
3814,6
3815,7
3816,6
3817,6
3818,6
3819,6
3820,6
3821,6
3822,6
3823,7
3824,6
3825,6
3826,6
3901,7
3902,7
3903,7
3904,7
3905,7
3906,7
3907,7
3908,7
3909,7
3910,7
3911,7
3912,7
3913,7
3914,7
3915,17
3916,9
3917,9
3918,9
3919,9
3920,9
3921,9
3922,9
3923,7
3924,9
3925,9
3926,9
4001,1
4002,7
4003,7
4004,7
4005,9
4006,9
4007,7
4008,9
4009,9
4010,9
4011,9
4012,9
4013,9
4014,9
4015,9
4016,7
4017,7
4101,3
4102,3
4103,1
4104,4
4105,4
4106,4
4107,4
4112,8
4113,4
4114,4
4115,4
4201,8
4202,4
4203,8
4205,8
4206,8
4301,1
4302,8
4303,4
4304,8
4401,9
4402,7
4403,1
4404,5
4405,9
4406,5
4407,9
4408,5
4409,5
4410,5
4411,5
4412,5
4413,9
4414,9
4415,5
4416,9
4417,9
4418,9
4419,5
4420,9
4421,5
4501,1
4502,9
4503,5
4504,9
4601,5
4602,5
4701,10
4702,10
4703,5
4704,5
4705,10
4706,10
4707,17
4801,10
4802,5
4803,10
4804,10
4805,5
4806,5
4807,10
4808,10
4809,5
4810,5
4811,10
4812,10
4813,5
4814,10
4816,5
4817,10
4818,5
4819,5
4820,10
4821,5
4822,5
4823,5
4901,19
4902,19
4903,10
4904,10
4905,19
4906,10
4907,10
4908,19
4909,10
4910,10
4911,19
5001,11
5002,11
5003,11
5004,11
5005,4
5006,11
5007,4
5101,4
5102,1
5103,4
5104,11
5105,11
5106,4
5107,4
5108,4
5109,4
5110,11
5111,4
5112,4
5113,11
5201,11
5202,4
5203,11
5204,4
5205,4
5206,4
5207,4
5208,11
5209,11
5210,4
5211,4
5212,11
5301,4
5302,1
5303,1
5305,11
5306,4
5307,4
5308,4
5309,11
5310,4
5311,11
5401,4
5402,7
5403,7
5404,7
5405,11
5406,11
5407,4
5408,4
5501,7
5502,7
5503,7
5504,7
5505,17
5506,4
5507,11
5508,4
5509,4
5510,4
5511,4
5512,4
5513,4
5514,4
5515,11
5516,4
5601,5
5602,11
5603,4
5604,4
5605,11
5606,11
5607,11
5608,4
5609,11
5701,4
5702,4
5703,4
5704,4
5705,11
5801,11
5802,4
5803,11
5804,4
5805,11
5806,4
5807,4
5808,11
5809,11
5810,11
5811,11
5901,4
5902,4
5903,4
5904,11
5905,11
5906,9
5907,11
5908,11
5909,4
5910,11
5911,11
6001,11
6002,4
6003,4
6004,4
6005,11
6006,4
6101,11
6102,4
6103,11
6104,11
6105,11
6106,4
6107,4
